Head,Body,Tags,First Answer
"In tic-tac-toe, what is the effect of the starting state on the state and action value function?","
I am simulating a Tic-Tac-Toe game with a human opponent. The way the RL trains is through policy/value iterations for a fixed number of iterations all specified by the user. Now, whether the human player has turn 1 or turn 2 will decide the starting state (1st move by human or empty). The starting states for the 1st case can differ as the human can make 9 different moves.
So, my questions are:

In tic-tac-toe, what is the effect of the starting state on the state and action value function?
Does it converge to the same stable value for all starting states?
Will the value functions change if the starting players are changed? (human vs RL to RL vs human)

NOTE: I will be enumerating all states since there are approximately 20000 states which I believe is not a big number and thus convergence should not be a problem.
","['reinforcement-learning', 'value-functions', 'value-iteration', 'policy-iteration', 'tic-tac-toe']","My understanding - from comments on the question - is that you are looking to train a Reinforcement Learning agent on the game of Tic Tac Toe (perhaps just in theory), where the agent should learn to play against a ""human"" opponent. In practice you may want a model of a human opponent.In this case, the RL agent will be presented with a board state, it will take an action (to put its mark on an empty place in the grid) and either:Win immediately, receiving a positive reward. It is common to use +1 in a game like Tic Tac Toe, so I will assume that later.Lose on opponent's turn, receiving a negative reward (assumed -1 later in the answer), as opponent makes a move that causes it to win. This is effectively ""immediately"" in terms of time steps, the agent does not get to act afterwards.Receive zero reward, and a new board state that includes the opponent's moveReceive zero reward, and the game ends in a drawIn all cases, the opponent is considered part of the environment. That makes the opponent behaviour critical to the value function and choice of optimal play. Training versus different opponents can result in very different state values.For training to be stable, the opponent should behave with the same probability of action choices for each interim state that it observes. That includes it behaving deterministically, even optimally, purely randomly or anything in-between provided the probability distribution is fixed.With the above context, it is possible to give sound answers to your questions:In tic-tac-toe, what is the effect of the starting state on the state and action value function?Each state of the board, or each state/action pair if you want to track action values, should converge to a value, depending on the agent's estimated, expected result at the end of the episode. As there is only a single reward possible at the end of each game, this will vary between -1 and +1. If either the agent or the opponent can make mistakes at random, then non-zero values between -1 and +1 are possible.Does it converge to the same stable value for all starting states?That depends on behaviour of the opponent. In the scenario you are working with, the agent may not learn to play optimally in general, instead it will learn to gain optimal results against the supplied opponent. If the opponent can make mistakes, then moves which take advantage of that fact will have higher values.Without a detailed description of the opponent it is not possible to make many statements about the actual state values and action values.Against a perfect opponent, with the RL going second, it should converge to state values which are all zero and action values which are all zero or -1 for moves which would be mistakes.Against a completely random opponent, I would have to run it to be sure, but I would expect state values to have 3 different values, all slightly positive, depending if opponent chose middle, edge or corner cases - each of these would have slightly different chance of leading to a win for the agent going forward.Will the value functions change if the starting players are changed?Due to the turn-based nature of the game, all the states observed would be different depending on who was the first player. When the agent goes first it will get to score the empty grid and action values of any position it would like to make a first mark in - it gets to see state after turn 0 on time step 1, after turn 2 on time step 2, after turn 4 on time step 3 etc. When the agent goes second it will get to see and evaluate the outpt of other turns - turn 1 at t=1, turn 3 at t=2, turn 5 at t=3 etc.That means the sets of states and state/action pairs for each case (RL first or RL second) are disjoint, and you cannot ask if one agent has the same value for a specific state as the other agent - it simply won't know about the other agent's values.If you train a single agent, sometimes starting first, sometimes starting second, the two sets of values never interact with each other directly - in an enumerated table, as per the question, this is not at all, but if an agent uses function approximation such as neural networks, then they can affect each other."
What is the difference between latent and embedding spaces?,"
In general, the word ""latent"" means ""hidden"" and ""to embed"" means ""to incorporate"". In machine learning, the expressions ""hidden (or latent) space"" and ""embedding space"" occur in several contexts. More specifically, an embedding can refer to a vector representation of a word. An embedding space can refer to a subspace of a bigger space, so we say that the subspace is embedded in the bigger space. The word ""latent"" comes up in contexts like hidden Markov models (HMMs) or auto-encoders.
What is the difference between these spaces? In some contexts, do these two expressions refer to the same concept?
","['machine-learning', 'terminology', 'word-embedding', 'latent-variable', 'embeddings']","Due to Machine Learning's recent and rapid renaissance, and the fact that it draws from many distinct areas of mathematics, statistics, and computer science, it often has a number of different terms for the same or similar concepts.""Latent space"" and ""embedding"" both refer to an (often lower-dimensional) representation of high-dimensional data:For example, in this ""Swiss roll"" data, the 3d data on the left is sensibly modelled as a 2d manifold 'embedded' in 3d space. The function mapping the 'latent' 2d data to its 3d representation is the embedding, and the underlying 2d space itself is the latent space (or embedded space):Depending on the specific impression you wish to give, ""embedding"" often goes by different terms:However this is not a hard-and-fast rule, and they are often completely interchangeable."
Is there a RNN that can predict the next substitute in a floorball match?,"
Floorball is a type of floor hockey. During the game, substitutions can be made.

The team is also allowed to change players any time in the game; usually, they change the whole team. Individual substitution happens sometimes, but it usually happens when a player is exhausted or is hurt. 

I would like to use an RNN to predict when the next substitution will happen for a team. However, I have no pre-existing dataset to train on. Is there a way that I can start predicting without a dataset and continually improve accuracy as more games are played?
","['neural-networks', 'training', 'datasets']",
Why don't we decorrelate transitions for policy-based data?,"
I'm implementing PPO myself strictly follow the steps:

sample transitions
randomly shuffle the sampled transitions
compute gradients and update networks using the sampled transitions
drop transitions and repeat the above steps 

I observe a strange phenomenon that randomly shuffling transitions makes the algorithm perform significantly worse than keeping it as it is. This is very strange to me. To my best understanding, neural networks perform badly when the input data are correlated. To decorrelate transitions, algorithms like DQN introduce replay buffer and randomly sample from it. But this seems not the same story to policy-based methods. I'm wondering why policy-based methods do not require to decorrelate the input data?
","['reinforcement-learning', 'proximal-policy-optimization']","We do decorrelate training experience, even for policy gradient methods. This is because decorrelation helps training data be more like IID data, which helps with the convergence of SGD-like optimizers. The shuffling is done on line 151 of OpenAI's ""baselines"" implementation of PPO.I'm going to guess that there's a bug somewhere in your implementation. If you're using the same truncated advantage estimation as in the PPO paper, $$\begin{align}
&\hat{A}_t = \delta_t + (\gamma\lambda)\delta_{t+1}+\dots+(\gamma\lambda)^{T-t+1}\delta_{T-1}\\
&\text{where}\quad\delta_t=r_t+\gamma V(s_{t+1})-V(s_t)
\end{align}$$make sure you're not shuffling experience before computing your advantage estimates $\hat{A}_1,\dots,\hat{A}_T$. Each of these estimates is a function of several unbroken steps of experience. After you compute your advantage estimates, then create the tuples $(s_t, a_t, \hat{A}_t)$ and shuffle and sample from those. I think that's all the information you need  per time step for constructing their objective function."
Facial Recognition + Database + Compare & Identify - is it complicated? [closed],"







Closed. This question needs details or clarity. It is not currently accepting answers.
                                
                            











Want to improve this question? Add details and clarify the problem by editing this post.


Closed 2 years ago.







                        Improve this question
                    



The last week I've been looking for freelancers who are able to do this project for me but they weren't that experienced in it, so I would like to know whether my idea is complicated or is it their lake of experience.
Scenario:
1. The facial recognition system will be installed on a vertical screen where a camera would be attached to it and it will be assigned on the entrance of the room.
2. Once a visitor come to the entrance, and looks at the screen, a text on the screen would say: "" Welcome! It seems like it's your first visit! Please enter your name then a keyboard should popup""
3. The visitor would enter his first name into the keyboard, and it would be saved alongside his face in the database, and it would say thank you, {name}.
4. If the same visitor visits again, the system should say: "" Welcome back {name}, happy to see you again""!
","['machine-learning', 'facial-recognition', 'pattern-recognition']",
Is Reinforcement Learning the future of Natural Language Processing?,"
I was reading about the grounding problem after seeing it mentioned in another answer today. The article states that, in order to avoid the ""infinite regress"" of defining all words with other words, we must ground the meaning of some words in the ""sensorimotor."" 

To be grounded, the symbol system would have to be augmented with nonsymbolic, sensorimotor capacities—the capacity to interact autonomously with that world of objects, events, actions, properties and states that its symbols are systematically interpretable (by us) as referring to.

Obviously, this made me think of Reinforcement Learning. But I'm not exactly sure what counts as ""interaction."" Would this necessarily imply an MDP-like formulation with rewards, state transitions, etc? Or could some form of grounding be accomplished with supervised learning?
This seems like a pretty fundamental problem of AI. Does anyone know of research being done on grounding words/symbols within an RL agent?
","['reinforcement-learning', 'natural-language-processing']",
Which matrix represents the similarity between words when using SVD?,"
Two words can be similar if they co-occur ""a lot"" together. They can also be similar if they have similar vectors. This similarity can be captured using cosine similarity. Let $A$ be a $n \times n$ matrix counting how often $w_i$ occurs with $w_k$ for $i,k = 1, \dots, n$. Since computing the cosine similarity between $w_i$ and $w_k$ might be expensive, we approximate $A$ using truncated SVD with $k$ components as: $$A \approx W_k \Sigma W^{T}_{k} = CD$$
where $$C = W_{k} \Sigma \\ D = W^{T}_{k}$$
Where are the cosine similarities between the words $w_i$ and $w_k$ captured? In the $C$ matrix or the $D$ matrix?
","['machine-learning', 'natural-language-processing', 'math']","You can find some material here and here but the idea (at least in this case) is the following: consider the full SVD decomposition of the symmetric matrix $A = W \Delta W^T$. We want to calculate the cosine similarity between the $i$-th column (aka word) $a_i$ and the $j$-th column $a_j$ of $A$. Then $a_k = A e_k$, where $e_k$ is the $k$-th vector of the canonical basis of $\mathbb{R}$. Let's call $\cos(a_i,a_j)$ the cosine between $a_i,a_j$. Then
$$\cos(a_i,a_j) = \cos(Ae_i,Ae_j) = \cos(W \Delta W^T e_i,W \Delta W^T e_j) = \cos(\Delta W^T e_i,\Delta W^T e_j)$$where the last equality holds because $W$ is an orthogonal matrix (and so $W$ is conformal, i.e. it preserves angles). So you can calculate the cosine similarity between the columns of $\Delta W^T$. A $k$-truncated SVD gives a well-enough approximation. In general, columns of $W \Delta$ and rows of $W$ have different meanings!"
How can we use linear programming to solve an MDP?,"
Apparently, we can solve an MDP (that is, we can find the optimal policy for a given MDP) using a linear programming formulation. What's the basic idea behind this approach? I think you should start by explaining the basic idea behind a linear programming formulation and which algorithms can be used to solve such constrained optimisation problems.
","['reinforcement-learning', 'optimization', 'markov-decision-process', 'linear-programming']","This question seems to be addressed directly in these slides.The basic idea is:$$V^*(s) = r + \gamma \max_{a \in A}\sum_{s' \in S} P(s' | s,a) \cdot V^*(s')$$That is, the true value of the state is the reward we accrue for being in it, plus the expected future rewards of acting optimally from now until infinitely far into the future, discounted by the factor $\gamma$, which captures the idea that reward in the future is less good than reward now.In Linear Programming, we find the minimum or maximum value of some function, subject to a set of constraints. We can do this efficiently if the function can take on continuous values, but the problem becomes NP-Hard if the values are discrete. You would usually do this using something like the Branch & Bound algorithm. These are widely available in fast implementations. GLPK is a decent free library. IBM's CPLEX is faster, but expensive.We can represent the problem of finding the value of a given state as:
$$\text{minimize}_V \ V(s)$$
subject to the constraints:
$$V(s) \geq r + \gamma\sum_{s' \in S} P(s' | s,a)*V(s'),\; \forall a\in A, s \in S$$
It should be apparent that if we find the smallest value of $V(s)$ that matches this requirement, then that value would make exactly one of the constraints tight.If you formulate your linear program by writing a program like the one above for every state and then minimize $\sum_{s\in S} V(s)$, subject to the union of all the constraints from all these sub-problems you have reduced the problem of learning a value function to solving the LP."
Why is the max a non-expansive operator?,"
In certain reinforcement learning (RL) proofs, the operators involved are assumed to be non-expansive. For example, on page 6 of the paper Generalized Markov Decision Processes: Dynamic-programming and Reinforcement-learning Algorithms (1997), Csaba Szepesvari and Michael L. Littman state

When $0 \leq \gamma < 1$ and $\otimes$ and $\oplus$ are non-expansions, the generalized Bellman equations have a unique optimal solution, and therefore, the optimal value function is well defined.

On page 7 of the same paper, the authors say that max is non-expansive. Moreover, on page 33, the authors assume $\otimes$ and $\oplus$ are non-expansions.
What is a non-expansive operator? Why is the $\max$ (and the $\min$), which is, for example, used in Q-learning, a non-expansive operator?
","['reinforcement-learning', 'q-learning', 'math', 'proofs', 'papers']",
What is a generalized MDP?,"
What is a generalized MDP?
Here are a few sub-questions.

How is it different than a ""regular"" MDP?
How does it generalize the notion of an MDP?
Why do we need a generalized MDP?
Do generalized MDPs have some practical usefulness or they are just theoretical tools?

","['reinforcement-learning', 'reference-request', 'definitions', 'markov-decision-process']","(This answer is based on info that you can find in the paper $\varepsilon $-MDPs: Learning in Varying Environments, 2002, by István Szita et al. and [Szepesvári and Littman(1996)], the paper that proposed generalised MDPs. I just adapted the notation to be more consistent with Sutton & Barto's book and provided additional info and links).Let's first start with the usual definition of an MDP.An MDP is defined by the tuple $\langle \mathcal{S}, \mathcal{A}, R, \color{blue}{P} , \gamma \rangle$, whereGiven this formulation of a decision problem, the goal is to maximize the expected reward. The objective function can be defined as follows
$$
\mathbb{E}\left[ \sum_{t=0}^{\infty} \gamma^{t} R_{t} \right] = \mathbb{E}\left[ G_{t} \right],
$$
where $R_{t}$ is the reward that we get at time step $t$.There are multiple ways to solve this problem. The most common is probably Q-learning.In Q-learning, we try to estimate the state-action (or action) value function. The optional value function is defined as follows$$
Q^{*}(s, a)=\sum_{s'} \color{blue}{P}(s, a, s')\left(R(s, a, s')+\gamma \color{red}{\max} _{a^{\prime}} Q^{*}(s', a^{\prime})\right) \label{1}\tag{1}, 
$$
for all $s \in \mathcal{S}$.So, it's a function of the form $Q^{*}: \mathcal{S} \times \mathcal{A} \rightarrow \mathbb{R}$. To emphasize the main purpose of this function, it can be denoted/defined as $Q^{*}(s, a) = \mathbb{E}\left[G_t \mid a, s \right]$, so it's the expected return ($G_t$ is the return or cumulative reward) for taking action $a$ in state $s$ under the optimal policy $\pi^*$ (hence the $*$).The equation (\ref{1}) is a recursive equation because $Q^{*}(s, a)$ is defined in terms of itself, i.e. we use $Q^{*}(s', a^{\prime})$ to define it. In this context, this type of recursive equation is also known as Bellman equation (due to Richard Bellman which contributed to the theory of dynamic programming, which is related to MDPs, as dynamic programming algorithms can be used to solve MDPs, given a transition model).One thing to keep in mind is that the optimal policy can be derived from the optimal state-action value function by acting greedily with respect to it.Now, there's one reason why I colored the transition model and the max operation in the Bellman equation \ref{1} in $\color{blue}{\text{blue}}$ and $\color{red}{\text{red}}$, respectively, and this is related to generalized MDPs.The Bellman equation in \ref{1} is defined with respect tothe transition model $\color{blue}{P}$, which describes the dynamics of the environment,$\color{red}{\max}$, which is related to the assumption that the optimal agent acts greedily with respect to the optimal value function (keep in mind that the max operation is non-expansive)A generalised MDP [Szepesvári and Littman(1996)] is a generalisation of multiple versions/definitions of MDPs that circulate around in the literature, including the definition above. More specifically, 2 concepts are generalised: transition model and the max operator.Mathematically, we can define a generalised MDP as a tuple $\langle \mathcal{S}, \mathcal{A}, R, \color{blue}{\oplus}, \color{red}{\otimes}, \gamma \rangle$, where $\mathcal{S}, \mathcal{A}$ and $R$ are defined as above and$\color{blue}{\oplus}: (\mathcal{S} \times \mathcal{A} \times \mathcal{S} \rightarrow \mathbb{R}) \rightarrow(\mathcal{S} \times \mathcal{A} \rightarrow \mathbb{R})$ is a ""expected value-type"" operator that generalises $\color{blue}{P}$; the intuition of this operator is the same as the input of $\color{blue}{P}$ that I described above$\color{red}{\otimes}:(\mathcal{S} \times \mathcal{A} \rightarrow \mathbb{R}) \rightarrow(\mathcal{S} \rightarrow \mathbb{R})$ is a ""maximization-type"" operator that generalises $\color{red}{\max}$; the intuition of $\color{red}{\otimes}$ is also the same as the intuition of $\color{red}{\max}$ (i.e. it represents how the optimal agent would behave).So, these are operators (like the gradient operator or the Bellman operator) because they take as input a function and produce another function.Now, if we set$(\color{blue}{\oplus} U)(s, a)=\sum_{s'} \color{blue}{P}(s, a, s') U(s, a, s')$ (so, in this case, it takes as input the function $U$; note that, in this case, $\color{blue}{\oplus}$ is an expected value operator, with respect to the probability distirbution $\color{blue}{P}(s, a, s')$)$(\color{red}{\otimes} Q)(s)=\color{red}{\max}_{a} Q(s, a)$ (note that this just uses the $\color{red}{\max}$)Then we get the usual expected-reward MDP model.In the literature, there are different versions of MDPs, such asGeneralised MDPs generalise all these MDPs for different values of $\color{blue}{\oplus}$ and $\color{red}{\otimes}$.The paper [Szepesvári and Littman(1996)] (that introduced GMDPs) provides more info about how we should set $\color{red}{\otimes}$ and $\color{blue}{\oplus}$ to get these different MDPs (see table 1).The Bellman equation for the state value function can be expressed as follows in the context of GMDP$$
V^{*}=\color{red}{\otimes} \color{blue}{\oplus} \left(R + \gamma V^{*}\right)
$$For the state-action value function, you can have the following Bellman equation$$
K Q=\color{blue}{\oplus} (R+\gamma \color{red}{\otimes} Q)
$$or the one that relates $Q^{*}$ to $V^{*}$$$
Q^{*}=\color{blue}{\oplus} \left(R+\gamma V^{*}\right)
$$"
"Why would adding all the possible embeddings be ""worse"" than using 1D-convolutions?","
Suppose we are using word2vec and have embeddings of individual words $w_1, \dots, w_{10}$. Let's say we wanted to analyze $2$ grams or $3$ grams.
Why would adding all the possible embeddings, $\binom{10}{2}$ or $\binom{10}{3}$, be ""worse"" than using 1D-convolutions?
","['natural-language-processing', 'word-embedding', 'word2vec', '1d-convolution', 'n-gram']",
Why does the BERT encoder have an intermediate layer between the attention and neural network layers with a bigger output?,"
I am reading the BERT paper BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding.
As I look at the attention mechanism, I don't understand why in the BERT encoder we have an intermediate layer between the attention and neural network layers with a bigger output ($4*H$, where $H$ is the hidden size).
Perhaps it is the layer normalization, but, by looking at the code, I'm not certain. 
","['deep-learning', 'natural-language-processing', 'papers', 'attention', 'bert']",
How to perform unsupervised anomaly detection from log file with mostly textual data?,"
I have a log file of the format,

Index, Date, Timestamp, Module, App, Context, Session, Verbosity level, Description

The log file can be considered as a master log, which consists of individual logs from several modules constituting a distributed system. The individual log can be identified using the corresponding Module+App+Context tags. The verbosity level(Info, Warn, Error, …) and the descriptions(system generated + print statements added by developers) contain further information on the log events necessary for debugging. I need to perform an unsupervised anomaly detection with the log file as input. The output should be the functionality and timestamp of the identified anomalies. 
Since the log is mostly textual, I plan to use NLP algorithm (Bag of words/TF-IDF) to convert the data into word vectors and then perform a generative learning method to identify the normal pattern. Can someone suggest if my approach in the right direction? Which headers of the log file would be relevant for the word-vector representation and further analysis?
","['neural-networks', 'machine-learning', 'natural-language-processing', 'word2vec', 'anomaly-detection']",
Comparison and understanding of different version of DDQN?,"
There are several version of DDQN floating around. Sutton gives one that is a simple symmetric random update of the two Q functions. I think other papers (Silver paper for example) use a kind of delayed and split update rule. 
Is there anything systematic describing the properties of the bias corrections and their respective advantages?
","['reinforcement-learning', 'q-learning', 'dqn', 'deep-rl']",
Is there any GUI for per-neuron editing,"
I couldn't find GUI for precise ""artificial neural-network alike"" structures, which could supports neuron naming, synapse naming, import of external functions or code fragments and debugging. It would be ideal if synapses also could pass not only float values, but user-defined structures too. Optimization, GPU-computing is irrelevant (and probably impossible with such features).
Is such thing exists? I'm thinking about writing one myself, for my needs. And most probably I will...
Why do I need such features? For testing concept of construction of kind-of-neural logic programming. I'm sure there is also should exists programming languages with such paradigm, but I also don't know how to find them, google would mostly give me info about common artificial neural networks.
","['neural-networks', 'programming-languages']",
